# Dansk Branchekode 2025 (DB25), alle 6-cifrede koder. Kilde: Danmarks Statistik,
# https://www.dst.dk/klassifikationsbilag/aa99c1bd-2d93-479a-8fb0-70d1b235467ecsv_da (hentet 2026-09-03).
# Format: kode;titel. Bruges af src/lib/__tests__/branchekode.test.ts til at køre HELE registret gennem motoren.
431200;Forberedende byggepladsarbejder
431300;Funderingsundersøgelser
432100;El-installation
432200;Installation af vvs-, varme- og klimaanlæg
432300;Installation af isolering
432400;Andre bygningsinstallationsaktiviteter
433100;Stukkatøraktiviteter
433200;Tømrer- og bygningssnedkeraktiviteter
433300;Udførelse af gulvbelægninger og vægbeklædning
433410;Maleraktiviteter
433420;Glarmesteraktiviteter
433500;Anden bygningsfærdiggørelse
434100;Tagdækningsaktiviteter
434200;Andre specialiserede bygningsarbejder
435000;Specialiserede anlægsaktiviteter
436000;Formidlingsaktiviteter i forbindelse med specialiserede bygge- og anlægsarbejder
439100;Murerarbejde
439900;Andre specialiserede byggeaktiviteter i.a.n.
461100;Agenturhandel med landbrugsråvarer, levende dyr, tekstilråvarer og halvfabrikata
461200;Agenturhandel med brændstoffer, malme, metaller og kemiske produkter til industrien
461300;Agenturhandel med tømmer og andre byggematerialer
461400;Agenturhandel med maskiner, teknisk udstyr, skibe og flyvemaskiner
461500;Agenturhandel med møbler, husholdningsartikler og isenkram
461600;Agenturhandel med tekstiler, beklædning, pelsværk, fodtøj og lædervarer
461710;Fiskeauktioner
461790;Anden agenturhandel med føde-, drikke- og tobaksvarer
461810;Agenturhandel med motorcykler, biler, busser og trailere mv.
461890;Agenturhandel med specialiseret varesortiment, bortset fra køretøjer
461900;Agenturhandel med ikke-specialiseret varesortiment
462100;Engroshandel med korn, uforarbejdet tobak, såsæd og foderstoffer
462200;Engroshandel med blomster og planter
462300;Engroshandel med levende dyr
462400;Engroshandel med huder, skind og læder
463100;Engroshandel med frugt og grøntsager
463210;Engroshandel med kød og kødprodukter
463220;Engroshandel med fisk og fiskeprodukter
463300;Engroshandel med mejeriprodukter, æg samt spiselige olier og fedtstoffer
463410;Engroshandel med øl, mineralvand, frugt- og grøntsagssaft
463420;Engroshandel med vin og spiritus
463500;Engroshandel med tobaksvarer
463600;Engroshandel med sukker, chokolade og sukkervarer
463700;Engroshandel med kaffe, te, kakao og krydderier
463800;Engroshandel med andre fødevarer
463900;Ikke-specialiseret engroshandel med føde-, drikke- og tobaksvarer
464100;Engroshandel med tekstiler
464210;Engroshandel med beklædning
464220;Engroshandel med fodtøj
464310;Engroshandel med hvidevarer og elektriske husholdningsartikler
464320;Engroshandel med radio og tv, fotografiske og optiske artikler
464410;Engroshandel med porcelæns- og glasvarer
464420;Engroshandel med rengøringsmidler
464500;Engroshandel med parfumerivarer og kosmetik
464610;Engroshandel med medicinalvarer og sygeplejeartikler
464620;Engroshandel med læge- og hospitalsartikler
464700;Engroshandel med møbler til bolig-, kontor- og butiksbrug, tæpper og belysningsartikler
464800;Engroshandel med ure og smykker
464910;Engroshandel med cykler, sportsartikler og lystbåde
464920;Engroshandel med bøger, papir og papirvarer
464930;Engroshandel med kufferter og lædervarer
464990;Engroshandel med andre husholdningsartikler i.a.n.
465000;Engroshandel med informations- og kommunikationsudstyr
466100;Engroshandel med landbrugsmaskiner, -udstyr og tilbehør hertil
466200;Engroshandel med værktøjsmaskiner
466300;Engroshandel med maskiner til minedrift og bygge- og anlægsaktiviteter
466400;Engroshandel med andre maskiner og andet udstyr
467100;Engroshandel med motorkøretøjer
467200;Engroshandel med reservedele og tilbehør til motorkøretøjer
467300;Engroshandel med motorcykler samt reservedele og tilbehør dertil
468100;Engroshandel med fast, flydende og luftformigt brændstof og lignende varer
468200;Engroshandel med metaller og metalmalme
468300;Engroshandel med træ og byggematerialer samt sanitetsartikler
468400;Engroshandel med isenkram, varmeanlæg og tilbehør
468500;Engroshandel med kemiske produkter
468600;Engroshandel med andre råvarer og halvfabrikata
468700;Engroshandel med affaldsprodukter
468900;Anden specialiseret engroshandel i.a.n.
469000;Ikke-specialiseret engroshandel
471110;Detailhandel med kioskvarer
471120;Detailhandel med dagligvarer i supermarkeder og købmandsbutikker
471130;Detailhandel med dagligvarer i discountsupermarkeder
471200;Anden ikke-specialiseret detailhandel
472100;Detailhandel med frugt og grøntsager
472200;Detailhandel med kød og kødprodukter
472300;Detailhandel med fisk, krebsdyr og bløddyr
472400;Detailhandel med bagværk og konfekture
472500;Detailhandel med drikkevarer
472600;Detailhandel med tobaksvarer
472700;Detailhandel med andre fødevarer
473000;Detailhandel med motorbrændstoffer
474000;Detailhandel med informations- og kommunikationsudstyr
475100;Detailhandel med tekstiler
475210;Detailhandel med maling og tapet
475220;Detailhandel med byggematerialer og værktøj
475300;Detailhandel med tæpper, vægbeklædning og gulvbelægning
475400;Detailhandel med elektriske husholdningsapparater
475510;Detailhandel med møbler
475520;Detailhandel med bad- og køkkenelementer mv.
475530;Detailhandel med køkkenudstyr og service mv.
475590;Detailhandel med boligtekstiler, belysnings- og husholdningsartikler i.a.n.
476100;Detailhandel med bøger
476200;Detailhandel med aviser og andre tidsskrifter samt kontorartikler
476310;Detailhandel med sports- og fritidsudstyr
476320;Detailhandel med cykler
476330;Detailhandel med lystbåde og udstyr hertil
476400;Detailhandel med spil og legetøj
476910;Detailhandel med musikinstrumenter
476920;Detailhandel med kunst mv.
476990;Detailhandel med andre kulturelle artikler i.a.n
477110;Detailhandel med tøj
477120;Detailhandel med baby- og børnetøj
477210;Detailhandel med fodtøj
477220;Detailhandel med lædervarer
477300;Detailhandel med farmaceutiske produkter
477410;Optikeraktiviteter
477420;Detailhandel med andre medicinske og ortopædiske artikler
477500;Detailhandel med kosmetikvarer og toiletartikler
477610;Detailhandel med blomster og planter
477620;Detailhandel med kæledyr og udstyr til kæledyr
477700;Detailhandel med ure og smykker
477800;Detailhandel med andre nye varer
477900;Detailhandel med brugte varer
478100;Detailhandel med motorkøretøjer
478200;Detailhandel med reservedele og tilbehør til motorkøretøjer
478300;Detailhandel med motorcykler samt reservedele og tilbehør dertil
479100;Formidlingsaktiviteter inden for ikke-specialiseret detailhandel
479200;Formidlingsaktiviteter inden for specialiseret detailhandel
491100;Persontransport med regional- eller fjerntog
491200;Persontransport med nærbane
492000;Godstransport med tog
493100;Passagertransport ad vej med fast køreplan
493200;Passagertransport ad vej uden fast køreplan
493300;Passagertransport på bestilling i køretøj med chauffør
493400;Passagertransport med tovbaner og skilifter
493900;Anden landpassagertransport i.a.n.
494100;Vejgodstransport
494200;Flytteaktiviteter
495000;Rørtransport
501000;Sø- og kysttransport af passagerer
502000;Sø- og kysttransport af gods
503000;Transport af passagerer ad indre vandveje
504000;Transport af gods ad indre vandveje
511010;Passagertransport med rutefly
511020;Passagertransport med charter- og taxifly
512100;Lufttransport af gods
512200;Rumfart
521000;Oplagring og opbevaring
522110;Drift af stationer, godsterminaler mv.
522120;Drift af parkering og vejhjælp mv.
522130;Drift af betalingsveje, -broer og -tunneler
522210;Drift af erhvervshavne
522220;Drift af bugserings-, bjærgnings- og redningsvæsen mv.
522300;Serviceydelser i forbindelse med luftfart
522400;Godshåndtering
522500;Serviceydelser i forbindelse med logistik
522600;Andre støtteaktiviteter i forbindelse med transport
523100;Formidlingsaktiviteter inden for godstransport
523200;Formidlingsaktiviteter inden for passagertransport
531000;Postaktiviteter omfattet af forsyningspligten
532000;Andre post- og kuréraktiviteter
533000;Formidlingsaktiviteter inden for post- og kuréraktiviteter
551000;Drift af hoteller og lignende overnatningsfaciliteter
552000;Drift af ferieboliger og andre overnatningsfaciliteter til kortvarige ophold
553000;Drift af campingpladser
554000;Formidlingsaktiviteter inden for overnatningsfaciliteter
559000;Andre overnatningsfaciliteter
561110;Servering af mad i restauranter og caféer
561190;Drift af øvrige spisesteder
561200;Drift af mobile madboder
562100;Event catering
562200;Catering på kontrakt og andre restaurationsaktiviteter
563010;Udskænkning af ikke-alkoholiske drikkevarer
563020;Udskænkning af alkoholiske drikkevarer
564000;Formidlingsaktiviteter i forbindelse med restaurationsaktiviteter
581100;Udgivelse af bøger
581200;Udgivelse af aviser og dagblade
581300;Udgivelse af ugeblade og magasiner
581900;Andre udgiveraktiviteter, undtagen udgivelse af software
582100;Udgivelse af videospil
582900;Anden udgivelse af software
591100;Produktion af film, videoer og TV-programmer
591200;Aktiviteter efter produktion af film, videoer og TV-programmer
591300;Distribution af film og videoer
591400;Fremvisning af film og andre billedmedier
592000;Indspilning af lydoptagelser og udgivelse af musik
601000;Radioaktiviteter og distribution af lydoptagelser
602000;Programskabelse, udgivelse og distribution af billedoptagelser
603100;Nyhedsbureauers aktiviteter
603900;Anden distribution af medieindhold
611000;Levering af fastnetbaseret, trådløs og satellitbaseret telekommunikation
612000;Videresalg af telekommunikation og formidlingsaktiviteter inden for telekommunikation
619000;Andre telekommunikationsaktiviteter
621000;Computerprogrammering
622000;Computerkonsulentbistand og forvaltning af computerfaciliteter
629000;Andre IT- og computerserviceaktiviteter
631000;IT-infrastruktur, databehandling, hosting og relaterede aktiviteter
639100;Drift af portaler til internettet
639200;Andre informationsaktiviteter
641100;Centralbankers aktiviteter
641900;Andre pengeinstitutters aktiviteter
642110;Finansielle holdingselskaber
642120;Ikke-finansielle holdingselskaber
642130;Gennemløbsholdingselskaber
642200;Finansielle conduiters aktiviteter
643110;Pengemarkedsfondes aktiviteter
643120;Andre investeringsfondes aktiviteter
643200;Trusters aktiviteter
649100;Finansiel leasing
649210;Realkreditinstitutters aktiviteter
649220;Andre kreditinstitutters aktiviteter
649230;Andre kreditselskabers aktiviteter
649910;Investering for egen regning
649990;Anden finansiel formidling i.a.n.
651100;Livsforsikring
651200;Anden forsikring
652000;Genforsikring
653010;Pensionskassers aktiviteter
653020;Anden pensionsforsikring
661100;Forvaltning af kapitalmarkeder
661200;Værdipapir- og varemægling
661900;Andre aktiviteter i forbindelse med finansielle tjenesteydelser, undtagen forsikring og pensionsforsikring
662100;Risiko- og skadesvurdering
662200;Forsikringsagenters og forsikringsmægleres aktiviteter
662900;Aktiviteter i forbindelse med forsikring og pensionsforsikring i.a.n.
663000;Formueforvaltning
681100;Køb og salg af egen fast ejendom
681200;Gennemførelse af byggeprojekter
682010;Udlejning af almennyttige boliger
682020;Udlejning af private andelsboliger
682030;Anden udlejning af boliger
682040;Udlejning af erhvervsejendomme
683110;Ejendomsmægleres aktiviteter
683120;Boliganvisning
683210;Administration af fast ejendom på kontraktbasis
683220;Drift af ejerforeninger
691000;Juridiske aktiviteter
692000;Bogføring og revision; skatterådgivning
701010;Ikke-finansielle hovedsæders aktiviteter
701020;Finansielle hovedsæders aktiviteter
702000;Virksomhedsrådgivning og anden ledelsesrådgivning
711100;Arkitektaktiviteter
711210;Rådgivende ingeniøraktiviteter inden for byggeri og anlægsarbejder
711220;Rådgivende ingeniøraktiviteter inden for produktions- og maskinteknik
711230;Rådgivende ingeniøraktiviteter inden for færdige fabriksanlæg
711240;Geologiske undersøgelser og prospektering, landinspektører mv.
711290;Anden teknisk rådgivning
712010;Kontrol af levnedsmidler
712020;Teknisk afprøvning og kontrol
712090;Anden måling og teknisk analyse
721000;Forskning og eksperimentel udvikling inden for naturvidenskab og teknik
722000;Forskning og eksperimentel udvikling inden for samfundsvidenskab og humanistiske videnskaber
731110;Planlægning og design af reklamekampagner
731190;Andre reklameaktiviteter
731200;Indrykning af reklamer i medier
732000;Markedsanalyse og offentlig meningsmåling
733000;Public relations og kommunikation
741100;Industrielt design og modedesign
741200;Grafisk design og visuel kommunikation
741300;Indretningsaktiviteter
741400;Andet specialiseret designarbejde
742000;Fotografiske aktiviteter
743000;Oversættelse og tolkning
749100;Patentbureauers aktiviteter og tjenesteydelser i forbindelse med markedsføring
749910;Landbrugskonsulenters aktiviteter
749990;Andre liberale, videnskabelige og tekniske tjenesteydelser i.a.n.
750000;Dyrlægeaktiviteter
771100;Udlejning og leasing af biler og lette motorkøretøjer
771200;Udlejning og leasing af lastbiler
772100;Udlejning og leasing af varer til fritid og sport
772200;Udlejning og leasing af andre varer til personlig brug og husholdningsbrug
773100;Udlejning og leasing af landbrugsmaskiner og -udstyr
773200;Udlejning og leasing af entreprenørmateriel
773300;Udlejning og leasing af kontormaskiner og -udstyr og computere
773400;Udlejning og leasing af skibe og både
773500;Udlejning og leasing af luftfartøjer
773910;Udlejning og leasing af andet materiel, udstyr og andre materielle aktiver til events
773990;Udlejning og leasing af andet materiel, udstyr og andre materielle aktiver, bortset fra til events
774000;Leasing af intellektuelle ejendomsrettigheder og lignende produkter, dog ikke ophavsretsbeskyttede værker
775100;Formidlingsaktiviteter inden for udlejning og leasing af biler, autocampere og påhængsvogne
