Remm ApS – Driftsbudget 2026 (BASE),,,,,,,,,,,,,
Alle beløb er i DKK og ex. moms. Budgettet beregnes fra 'Input til Budget'.,Januar,Februar,Marts,April,Maj,Juni,Juli,August,September,Oktober,November,December,Årstotal
Payment Cost,"(2,550)","(2,550)","(2,550)","(2,550)","(12,150)","(7,650)","(1,950)","(2,700)","(2,700)","(3,750)","(15,450)","(16,950)","(73,500)"
Packaging and Handling Cost,"(4,250)","(4,250)","(4,250)","(4,250)","(20,250)","(12,750)","(3,250)","(4,500)","(4,500)","(6,250)","(25,750)","(28,250)","(122,500)"
Return / Uncollected Package Cost,-,-,-,-,-,-,-,-,-,-,-,-,-
B2B Provision,-,-,-,-,-,-,-,-,-,"(30,000)","(45,000)",-,"(75,000)"
Order Expenses,"(31,238)","(31,238)","(31,238)","(31,238)","(148,838)","(93,713)","(23,888)","(33,075)","(33,075)","(115,938)","(294,263)","(207,638)","(1,075,375)"
Gross Profit,"53,763","53,763","53,763","53,763","256,163","161,288","41,113","56,925","56,925","109,063","370,738","357,363","1,624,625"
Gross Profit Margin %,63.3%,63.3%,63.3%,63.3%,63.3%,63.3%,63.3%,63.3%,63.3%,48.5%,55.8%,63.3%,60.2%
,,,,,,,,,,,,,
Contribution Margin,,,,,,,,,,,,,
Gross Profit,"53,763","53,763","53,763","53,763","256,163","161,288","41,113","56,925","56,925","109,063","370,738","357,363","1,624,625"
Marketing Spend,"(28,333)","(28,333)","(28,333)","(28,333)","(101,250)","(63,750)","(21,667)","(30,000)","(30,000)","(41,667)","(128,750)","(141,250)","(671,667)"
Contribution Margin,"25,429","25,429","25,429","25,429","154,913","97,538","19,446","26,925","26,925","67,396","241,988","216,113","952,958"
Contribution Margin %,29.9%,29.9%,29.9%,29.9%,38.3%,38.3%,29.9%,29.9%,29.9%,30.0%,36.4%,38.3%,35.3%
,,,,,,,,,,,,,
Fixed Expenses,,,,,,,,,,,,,
Personale & konsulentydelser,,,,,,,,,,,,,
Chatrine Løn,"(20,000)","(20,000)","(20,000)","(20,000)","(20,000)","(20,000)","(20,000)","(20,000)","(20,000)","(20,000)","(20,000)","(20,000)","(240,000)"
Launch Lab Fee,-,"(20,000)","(20,000)","(20,000)","(20,000)","(20,000)","(20,000)","(20,000)","(20,000)","(20,000)","(20,000)","(20,000)","(220,000)"
Marc (Google Ads Freelance),-,-,-,"(3,000)","(3,000)","(3,000)","(3,000)","(3,000)","(3,000)","(3,000)","(3,000)","(3,000)","(27,000)"
Subtotal Personale & konsulentydelser,"(20,000)","(40,000)","(40,000)","(43,000)","(43,000)","(43,000)","(43,000)","(43,000)","(43,000)","(43,000)","(43,000)","(43,000)","(487,000)"
"Økonomi, administration & forsikring",,,,,,,,,,,,,
Bank,(200),(200),(200),(200),(200),(200),(200),(200),(200),(200),(200),(200),"(2,400)"
Bogholderi og Årsregnskab (Revi Group),"(1,500)","(1,500)","(1,500)","(1,500)","(1,500)","(1,500)","(1,500)","(1,500)","(1,500)","(1,500)","(1,500)","(1,500)","(18,000)"
Dinero Pro (Regnskabsprogram),(350),(350),(350),(350),(350),(350),(350),(350),(350),(350),(350),(350),"(4,200)"
Forsikring Topdanmark,(300),(300),(300),(300),(300),(300),(300),(300),(300),(300),(300),(300),"(3,600)"
Telefoni (IP Nordic),(250),(250),(250),(250),(250),(250),(250),(250),(250),(250),(250),(250),"(3,000)"
Corpay,,,,,,,(899),(899),(899),(899),(899),(899),"(5,394)"
Pleo Essential,,,,,,,(179),(179),(179),(179),(179),(179),"(1,074)"
"Subtotal Økonomi, administration & forsikring","(2,600)","(2,600)","(2,600)","(2,600)","(2,600)","(2,600)","(3,678)","(3,678)","(3,678)","(3,678)","(3,678)","(3,678)","(37,668)"
"Webshop, betaling & logistiksystemer",,,,,,,,,,,,,
Shopify,(470),(470),(470),(470),(470),(470),(470),(470),(470),(470),(470),(470),"(5,640)"
MobilePay,(50),(50),(50),(50),(50),(50),(50),(50),(50),(50),(50),(50),(600)
Shipmondo Pro,(250),(250),(250),(250),(250),(250),(250),(250),(250),(250),(250),(250),"(3,000)"
Avedco ApS (Product feed),(270),(270),(270),(270),(270),(270),(270),(270),(270),(270),(270),(270),"(3,240)"
"Shopify App, Kaching Bundle",(250),(250),(250),(250),(250),(250),(250),(250),(250),(250),(250),(250),"(3,000)"
"Shopify App, Katching Upsell",(25),(25),(25),(25),(25),(25),(25),(25),(25),(25),(25),(25),(300)
"Shopify App, Contribe",(200),(200),(200),(200),(200),(200),(200),(200),(200),(200),(200),(200),"(2,400)"
"Shopify App, Hideapp",(75),(75),(75),(75),(75),(75),(75),(75),(75),(75),(75),(75),(900)
"Shopify App, JudgeMe",(125),(125),(125),(125),(125),(125),(125),(125),(125),(125),(125),(125),"(1,500)"
"Shopify App, EZ Market Translate",(125),(125),(125),(125),(125),(125),(125),(125),(125),(125),(125),(125),"(1,500)"
"Subtotal Webshop, betaling & logistiksystemer","(1,840)","(1,840)","(1,840)","(1,840)","(1,840)","(1,840)","(1,840)","(1,840)","(1,840)","(1,840)","(1,840)","(1,840)","(22,080)"
"Marketing, CRM & værktøjer",,,,,,,,,,,,,
ProfitMetrics,(500),(500),(500),(500),(500),(500),(500),(500),(500),(500),(500),(500),"(6,000)"
"SMS Marketing, InMobile","(1,000)","(1,000)","(1,000)","(1,000)","(1,000)","(1,000)","(1,000)","(1,000)","(1,000)","(1,000)","(1,000)","(1,000)","(12,000)"
"E-mail Marketing, Klaviyo","(1,000)","(1,200)","(1,200)","(1,200)","(2,000)","(2,000)","(2,000)","(2,000)","(2,000)","(2,500)","(2,500)","(2,500)","(22,100)"
Mail (Dandomain),(150),(150),(150),(150),(150),(150),(150),(150),(150),(150),(150),(150),"(1,800)"
Canva Plus,(100),(100),(100),(100),(100),(100),(100),(100),(100),(100),(100),(100),"(1,200)"
Ønskeskyen Abonnement,"(1,399)","(1,399)","(1,399)","(1,399)","(1,399)","(1,399)","(1,399)","(1,399)","(1,399)","(1,399)","(1,399)","(1,399)","(16,788)"
CapCut,(150),(150),(150),(150),(150),(150),(150),(150),(150),(150),(150),(150),"(1,800)"
MakeInfluence Abonnement,"(2,000)","(2,000)","(2,000)","(2,000)","(2,000)","(2,000)","(2,000)","(2,000)","(2,000)","(2,000)","(2,000)","(2,000)","(24,000)"
"Subtotal Marketing, CRM & værktøjer","(6,299)","(6,499)","(6,499)","(6,499)","(7,299)","(7,299)","(7,299)","(7,299)","(7,299)","(7,799)","(7,799)","(7,799)","(85,688)"
"Content, udvikling & vækstprojekter",,,,,,,,,,,,,
Foto & Videoproduktion,"(25,000)",-,-,-,-,-,-,"(5,000)","(5,000)","(5,000)","(5,000)",-,"(45,000)"
UGC Content (WebContent),-,-,"(5,000)",-,-,-,-,-,"(5,000)",-,-,-,"(10,000)"
Indkøb af vareprøver (Premium line),-,-,"(15,000)",-,-,-,-,-,-,-,-,-,"(15,000)"
Webudvikling hjælp,-,-,"(15,000)",-,-,-,-,-,-,-,-,-,"(15,000)"
"Subtotal Content, udvikling & vækstprojekter","(25,000)",-,"(35,000)",-,-,-,-,"(5,000)","(10,000)","(5,000)","(5,000)",-,"(85,000)"
Øvrige & reserve,,,,,,,,,,,,,
"Buffer (Indpakning, teknologi, bespisning, mødeomk. osv.)","(1,000)","(1,000)","(1,000)","(1,000)","(1,000)","(1,000)","(1,000)","(1,000)","(1,000)","(1,000)","(1,000)","(1,000)","(12,000)"
Uforudsete omkostninger (5% af fast base),"(2,837)","(2,597)","(4,347)","(2,597)","(2,637)","(2,637)","(2,637)","(2,887)","(3,137)","(2,912)","(2,912)","(2,662)","(34,798)"
Subtotal Øvrige & reserve,"(3,837)","(3,597)","(5,347)","(3,597)","(3,637)","(3,637)","(3,637)","(3,887)","(4,137)","(3,912)","(3,912)","(3,662)","(46,798)"
Total Fixed Expenses,"(59,576)","(54,536)","(91,286)","(57,536)","(58,376)","(58,376)","(59,454)","(64,704)","(69,954)","(65,229)","(65,229)","(59,979)","(764,234)"
,,,,,,,,,,,,,
Net Profit,,,,,,,,,,,,,
Contribution Margin,"25,429","25,429","25,429","25,429","154,913","97,538","19,446","26,925","26,925","67,396","241,988","216,113","952,958"
Total Fixed Expenses,"(59,576)","(54,536)","(91,286)","(57,536)","(58,376)","(58,376)","(59,454)","(64,704)","(69,954)","(65,229)","(65,229)","(59,979)","(764,234)"
Net Profit,"(34,147)","(29,107)","(65,857)","(32,107)","96,537","39,162","(40,008)","(37,779)","(43,029)","2,167","176,759","156,134","188,724"
Net Profit Margin %,(40.2%),(34.2%),(77.5%),(37.8%),23.8%,15.4%,(61.6%),(42.0%),(47.8%),1.0%,26.6%,27.6%,7.0%
